seed,oof_rmse,oof_mae,oof_r2,test_pred_min,test_pred_max,test_pred_mean,test_pred_std
42,0.2318080790811201,0.17660555091824204,0.04023513228302855,0.3678271653498627,0.6323633148781503,0.47911283671415483,0.044751843087494254
202,0.23175070508161943,0.1768095421141046,0.04071016951830997,0.36420120713615656,0.6424488817930727,0.4801057667614954,0.04421104700523078
777,0.2317166663354137,0.17654258853208912,0.0409919432033925,0.36263524121817503,0.6420474336406857,0.4778642153222617,0.045169184057984306
2026,0.23191893560995588,0.1768082379436794,0.039316944764780204,0.36156031571959074,0.6406913675762359,0.47806734386815236,0.04431486055112104
9999,0.2318399947489623,0.17676829221039772,0.0399708304904165,0.36493440438113045,0.6494426182691193,0.4787666475911621,0.04506322009515229
